date,category,sales
2023-01-01T00:00:00,Electronics,3241.13
2023-01-01T00:00:00,Books,3307.25
2023-01-01T00:00:00,Furniture,2921.04
2023-01-01T00:00:00,Clothing,1192.87
2023-01-02T00:00:00,Electronics,3645.93
2023-01-02T00:00:00,Books,1963.04
2023-01-02T00:00:00,Furniture,3794.58
2023-01-02T00:00:00,Clothing,2887.19
2023-01-03T00:00:00,Electronics,4953.62
2023-01-03T00:00:00,Books,1543.26
2023-01-03T00:00:00,Furniture,1314.7
2023-01-03T00:00:00,Clothing,4846.29
2023-01-04T00:00:00,Electronics,1650.67
2023-01-04T00:00:00,Books,1760.11
2023-01-04T00:00:00,Furniture,2918.47
2023-01-04T00:00:00,Clothing,4746.87
2023-01-05T00:00:00,Electronics,3991.05
2023-01-05T00:00:00,Books,1567.75
2023-01-05T00:00:00,Furniture,506.88
2023-01-05T00:00:00,Clothing,339.02
2023-01-06T00:00:00,Electronics,3357.76
2023-01-06T00:00:00,Books,2951.67
2023-01-06T00:00:00,Furniture,2722.14
2023-01-06T00:00:00,Clothing,4075.11
2023-01-07T00:00:00,Electronics,3778.07
2023-01-07T00:00:00,Books,1226.01
2023-01-07T00:00:00,Furniture,4780.08
2023-01-07T00:00:00,Clothing,4442.93
2023-01-08T00:00:00,Electronics,4036.03
2023-01-08T00:00:00,Books,2032.46
2023-01-08T00:00:00,Furniture,4589.74
2023-01-08T00:00:00,Clothing,3182.91
2023-01-09T00:00:00,Electronics,839.8
2023-01-09T00:00:00,Books,1842.86
2023-01-09T00:00:00,Furniture,2902.74
2023-01-09T00:00:00,Clothing,3185.23
2023-01-10T00:00:00,Electronics,4032.27
2023-01-10T00:00:00,Books,235.02
2023-01-10T00:00:00,Furniture,3308.43
2023-01-10T00:00:00,Clothing,4689.92
2023-01-11T00:00:00,Electronics,1446.86
2023-01-11T00:00:00,Books,3072.46
2023-01-11T00:00:00,Furniture,2918.43
2023-01-11T00:00:00,Clothing,3842.59
2023-01-12T00:00:00,Electronics,2174.56
2023-01-12T00:00:00,Books,3257.76
2023-01-12T00:00:00,Furniture,4678.28
2023-01-12T00:00:00,Clothing,291.59
2023-01-13T00:00:00,Electronics,2450.04
2023-01-13T00:00:00,Books,894.11
2023-01-13T00:00:00,Furniture,1610.32
2023-01-13T00:00:00,Clothing,4214.96
2023-01-14T00:00:00,Electronics,1641.45
2023-01-14T00:00:00,Books,208.35
2023-01-14T00:00:00,Furniture,3410.9
2023-01-14T00:00:00,Clothing,211.76
2023-01-15T00:00:00,Electronics,3284.18
2023-01-15T00:00:00,Books,3841.36
2023-01-15T00:00:00,Furniture,3203.49
2023-01-15T00:00:00,Clothing,4599.19
2023-01-16T00:00:00,Electronics,439.03
2023-01-16T00:00:00,Books,4597.19
2023-01-16T00:00:00,Furniture,784.77
2023-01-16T00:00:00,Clothing,2688.19
2023-01-17T00:00:00,Electronics,3072.4
2023-01-17T00:00:00,Books,196.23
2023-01-17T00:00:00,Furniture,1108.01
2023-01-17T00:00:00,Clothing,2322.27
2023-01-18T00:00:00,Electronics,2233.35
2023-01-18T00:00:00,Books,4345.5
2023-01-18T00:00:00,Furniture,2184.46
2023-01-18T00:00:00,Clothing,3114.41
2023-01-19T00:00:00,Electronics,2532.7
2023-01-19T00:00:00,Books,4424.96
2023-01-19T00:00:00,Furniture,133.42
2023-01-19T00:00:00,Clothing,3594.72
2023-01-20T00:00:00,Electronics,4734.09
2023-01-20T00:00:00,Books,2759.92
2023-01-20T00:00:00,Furniture,1055.59
2023-01-20T00:00:00,Clothing,901.69
2023-01-21T00:00:00,Electronics,3406.86
2023-01-21T00:00:00,Books,1278.09
2023-01-21T00:00:00,Furniture,4640.78
2023-01-21T00:00:00,Clothing,2275.3
2023-01-22T00:00:00,Electronics,1921.31
2023-01-22T00:00:00,Books,1325.99
2023-01-22T00:00:00,Furniture,1734.56
2023-01-22T00:00:00,Clothing,3120.0
2023-01-23T00:00:00,Electronics,1478.33
2023-01-23T00:00:00,Books,872.85
2023-01-23T00:00:00,Furniture,4590.06
2023-01-23T00:00:00,Clothing,974.98
2023-01-24T00:00:00,Electronics,3317.12
2023-01-24T00:00:00,Books,3969.37
2023-01-24T00:00:00,Furniture,765.63
2023-01-24T00:00:00,Clothing,2823.34
2023-01-25T00:00:00,Electronics,4841.84
2023-01-25T00:00:00,Books,204.63
2023-01-25T00:00:00,Furniture,699.61
2023-01-25T00:00:00,Clothing,4012.78
2023-01-26T00:00:00,Electronics,535.42
2023-01-26T00:00:00,Books,3602.4
2023-01-26T00:00:00,Furniture,4487.17
2023-01-26T00:00:00,Clothing,1293.03
2023-01-27T00:00:00,Electronics,1338.95
2023-01-27T00:00:00,Books,815.8
2023-01-27T00:00:00,Furniture,767.59
2023-01-27T00:00:00,Clothing,3644.73
2023-01-28T00:00:00,Electronics,951.23
2023-01-28T00:00:00,Books,2752.3
2023-01-28T00:00:00,Furniture,3812.26
2023-01-28T00:00:00,Clothing,2920.92
2023-01-29T00:00:00,Electronics,4664.52
2023-01-29T00:00:00,Books,2294.27
2023-01-29T00:00:00,Furniture,2375.67
2023-01-29T00:00:00,Clothing,1890.36
2023-01-30T00:00:00,Electronics,4839.82
2023-01-30T00:00:00,Books,1421.2
2023-01-30T00:00:00,Furniture,793.48
2023-01-30T00:00:00,Clothing,1970.52
2023-01-31T00:00:00,Electronics,2011.0
2023-01-31T00:00:00,Books,905.7
2023-01-31T00:00:00,Furniture,1540.44
2023-01-31T00:00:00,Clothing,4577.79
2023-02-01T00:00:00,Electronics,3288.81
2023-02-01T00:00:00,Books,3859.03
2023-02-01T00:00:00,Furniture,1891.23
2023-02-01T00:00:00,Clothing,3792.58
2023-02-02T00:00:00,Electronics,4793.76
2023-02-02T00:00:00,Books,4723.4
2023-02-02T00:00:00,Furniture,3630.63
2023-02-02T00:00:00,Clothing,1022.45
2023-02-03T00:00:00,Electronics,2213.86
2023-02-03T00:00:00,Books,3767.32
2023-02-03T00:00:00,Furniture,3696.35
2023-02-03T00:00:00,Clothing,4218.63
2023-02-04T00:00:00,Electronics,509.32
2023-02-04T00:00:00,Books,3332.78
2023-02-04T00:00:00,Furniture,2857.12
2023-02-04T00:00:00,Clothing,1063.09
2023-02-05T00:00:00,Electronics,1289.14
